bike_name,Price,Rating,Engine,Mileage,Max_Power,Fuel_Capacity,Top_Speed,Tyre_Type,Kerb_Weight,Max_Torque
Royal Enfield Super Meteor 650,402968,4.4,648 CC,25 Kmpl,47 PS,15.7 Liters,160 kmph,Tubeless,241 Kg,52.3 Nm
Royal Enfield Super Meteor 650,402968,4.4,648 CC,25 Kmpl,47 PS,15.7 Liters,160 kmph,Tubeless,241 Kg,52.3 Nm
Royal Enfield Super Meteor 650,402968,4.4,648 CC,25 Kmpl,47 PS,15.7 Liters,160 kmph,Tubeless,241 Kg,52.3 Nm
Bajaj Pulsar RS200,172286,4.2,199 CC,35 Kmpl,24.5 PS,13 Liters,141 kmph,Tubeless,159.5 Kg,18.74 Nm
Bajaj Pulsar RS200,172286,4.2,199 CC,35 Kmpl,24.5 PS,13 Liters,141 kmph,Tubeless,159.5 Kg,18.74 Nm
Bajaj Pulsar RS200,172286,4.2,199 CC,35 Kmpl,24.5 PS,13 Liters,141 kmph,Tubeless,159.5 Kg,18.74 Nm
Bajaj Pulsar RS200,172286,4.2,199 CC,35 Kmpl,24.5 PS,13 Liters,141 kmph,Tubeless,159.5 Kg,18.74 Nm
Bajaj Pulsar RS200,172286,4.2,199 CC,35 Kmpl,24.5 PS,13 Liters,141 kmph,Tubeless,159.5 Kg,18.74 Nm
Bajaj Pulsar RS200,172286,4.2,199 CC,35 Kmpl,24.5 PS,13 Liters,141 kmph,Tubeless,159.5 Kg,18.74 Nm
Bajaj Pulsar RS200,172286,4.2,199 CC,35 Kmpl,24.5 PS,13 Liters,141 kmph,Tubeless,159.5 Kg,18.74 Nm
Bajaj Pulsar RS200,172286,4.2,199 CC,35 Kmpl,24.5 PS,13 Liters,141 kmph,Tubeless,159.5 Kg,18.74 Nm
Honda Hornet 2.0,147136,4.1,184 CC,55.77 Kmpl,16.99 PS,12 Liters,130 kmph,Tubeless,142 Kg,15.7 Nm
